id,name,distance,mass,radius
0,54 Piscium,36.1,0.050593164,0.08207592208319811
1,81 Cancri,66,,
2,AB Pictoris,66.6,0.012886938,
3,CD−33°7795,163.08,0.01909176,
4,CT Chamaeleontis,538,0.016227996,0.2260786
5,Eta Coronae Borealis,58.3,0.060139044,
6,G 196-3,50.2,0.0238647,
7,GD 165,103,,
8,Gliese 570,19.0,0.049638576000000004,
9,GU Piscium,155.3,0.010500468,
10,HD 89744,126.2,,
11,HD 100546,337.25,0.01909176,
12,HN Pegasi,58.3,0.026728464,0.10379063
13,LHS 4040 [es],,,
14,UScoCTIO 108,473,0.013364232,
15,WD 0137-349,330,0.050593164,
16,HD 41004 B,139,0.0175644192,
17,HD 149382,241,0.014796114,
18,COROT-15,,0.0605208792,0.11509456
19,Xi Ursae Majoris B,25.11,0.035319756,
20,Upsilon Andromedae,43.9,0.013345140240000001,
21,Gliese 758,51.9,0.021955524,
22,HD 112758,53.81,0.03341058,
23,BD−04°782,66.6,0.020046348000000002,
24,HD 110833,55.44,0.016227996,
25,HD 89707,81.54,0.051547752,
26,Tau Geminorum,302,0.0172780428,
27,HAT-P-13,698,0.0145097376,
28,HD 217580,58.7,0.057275280000000005,
29,HD 16760,163,0.013650608400000002,
30,HD 13189,603.4,0.013364232,
31,HD 18445,83.92,0.037228932,
32,HD 8673,124.75,0.013364232,
33,NGC 4349-127,7097,0.018900842400000003,
34,Gliese 569,31.5,116[7] (EXCEPTION),
35,HD 29587,146.77,0.03818352,
36,ChaHα8,522,0.017182584,
37,COROT-20,4000,0.016227996,
38,HD 168443,123.5,0.032455992,
39,HD 38529 A,138,0.035319756,
40,Epsilon Indi,11.8,0.026728464,
41,HW Virginis,590,0.018356727240000002,
42,DT Virginis,37.55,0.01193235,0.1130393
43,HD 4113,136,0.057275280000000005,
44,Gliese 229,19,0.03818352,
45,TYC 9486-927-1,111,13.3 (± 1.7)  MJ (EXCEPTION),
46,Epsilon Indi,11.8,0.044865636,
47,HD 131664,180.8,0.0173257722,
48,HD 136118,171,0.040092696000000004,
49,HD 140913,156.42,0.043911048,
50,GQ Lupi b,400,1-42 (EXCEPTION),0.18497339999999998
51,HD 162020,101.95,0.014318820000000001,
52,Nu Ophiuchi,152.8,0.020905477199999998,
53,HD 164427,127.52,0.043911048,
54,SCR 1845-6357,12.57,40-50 (EXCEPTION),
55,COROT-3,2220,0.02067637608,0.10379063
56,15 Sagittae,57.7,0.06204822,
57,Zeta Delphini,220,0.05250234,
58,HD 202206,151.14,0.016609831199999998,
59,SDSS J000013.54+255418.6 [de],46.1,0.045820224,0.10173536999999999
60,2MASS J00040288-6410358,192,0.018137172,0.16750368999999998
61,LHS 102BC,,,
62,2MASS J00242463-0158201,37.7,0.075412452,0.11201167000000001
63,2MASS J00250365+4759191AB,143,,
64,2MASS J00274197+0503417,236,0.029592228,0.14797871999999998
65,2MASS J00275592+2219328,46.9,,
66,2MASSW J0030300-145033,87.2,0.051547752,0.10070773999999999
67,2MASS J00332386-1521309 [de],131,0.027683052,0.14695108999999998
68,2MASS J00345157+0523050,31,0.040092696000000004,0.09659721999999998
69,2MASS 0036+1821,28.6,0.040092696000000004,0.09659721999999998
70,2MASSW J0045214+163445,57,0.021955524,0.16647606
71,WISEP J004701.06+680352.1 [fr],40,0.011455056,0.13359189999999999
72,2MASS J00501994-3322402 [de],34,0.03818352,0.09659721999999998
73,2MASS J00034227-2822410,,,
74,2MASS J00584253-0651239 [de],96,0.027683052,0.14695108999999998
75,CFBDS J005910.90–011401.3,30,0.021955524,
76,2MASSI J0103320+193536,70,0.049638576000000004,0.10070773999999999
77,SDSSp J010752.33+004156.1 [de],51,0.049638576000000004,0.10070773999999999
78,2MASSI J0117474-340325 [de],163,0.01909176,0.16647606
79,2MASS J01415823-4633574 [de],130,0.01909176,0.16544843
80,SDSS J015141.69+124429.6,70,0.044865636,0.09968010999999999
81,DENIS-P J020529.0−115925A,65,,
82,DENIS-P J020529.0−115925B,65,,
83,DENIS-P J020529.0−115925C,65,,
84,SDSS J020742.48+000056.2 [de],111,0.044865636,0.09968010999999999
85,2MASS J02103857-3015313,101,0.014318820000000001,0.15722739
86,2MASS J02340093-6442068,155,0.01909176,0.16647606
87,2MASS J02411151-0326587 [de],152,0.025773876,0.14489582999999998
88,2MASS J02431371−2453298,35,0.031501404000000004,0.10173536999999999
89,LP 771-21,53,0.074457864,0.11098404
90,2MASS J02511327+0047364,,,
91,2MASS J02535980+3206373,184,0.06204822,0.19524969999999997
92,WISE J0254+0223,24,0.06204822,0.19524969999999997
93,DEN 0255-4700,16.2,0.07636704,0.09968010999999999
94,2MASS J03185403-3421292 [de],45,0.046774812,0.09968010999999999
95,2MASS J03205965+1854233,47,0.084003744,0.11817744999999999
96,2MASS J03231002-4631237,192,0.021955524,0.17058658
97,SDSS J032553.17+042540.1,59,0.04295646,0.09762484999999999
98,2MASS J03264225-2102057 [de],80,0.017182584,0.13359189999999999
99,2MASS J03284265+2302051 [de],98,0.051547752,0.10070773999999999
100,2MASS J03341218-4953322,27.0,0.069684924,0.10687352
101,LP 944-20,20.9,0.069684924,0.14695108999999998
102,2MASP J0345432+254023,88,0.070639512,0.10790115
103,Teide 1,380,0.05250234,0.38844413999999994
104,2MASS J03510004-0052452,48,0.09736797600000001,0.13050900999999998
105,2MASS J03552337+1133437,29.8,0.01909176,0.13564716
106,DENIS-P J035726.9-441730 [de],130,,
107,2MASS J04151954−0935066,18.6,0.028637640000000002,0.09762484999999999
108,SDSSp J042348.57-041403.5 [de],50,,
109,2MASS J04285096-2253227 [de],85,0.07636704,0.11201167000000001
110,2MASS J04351612-1606574,34,0.0954588,0.12948137999999998
111,2MASS J04362788-4114465,142,0.037228932,0.20244310999999998
